"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:AT1G01260",444.883208667074,3.91232931388685,0.332032247982884,11.7829799293728,4.77737009152101e-32,4.29695418325217e-30
"gene:AT1G01340",108.899302980196,4.19532735177268,0.696458882107367,6.02379761326085,1.70371386357916e-09,3.19620706103038e-08
"gene:AT1G01480",1401.68887750156,8.44292995769277,0.410149527209554,20.5850047301873,3.74001069981237e-94,2.57099021249959e-91
"gene:AT1G01550",1283.17294501343,2.30158652845807,0.30733542971271,7.48884217680188,6.94838315948825e-14,1.98137006005674e-12
"gene:AT1G01560",408.952225445754,7.79195029482583,0.646265813004932,12.0568814534622,1.78411296526487e-33,1.71703031777091e-31
"gene:AT1G01680",34.5337377322115,7.70144642652605,1.60616020336074,4.79494287706263,1.62721192112518e-06,2.02460084407353e-05
"gene:AT1G01740",72.7402389004364,2.25780223824328,0.754192106174983,2.9936699413285,0.00275643954026775,0.015034272675283
"gene:AT1G02170",349.327366442924,2.07814227015237,0.417477608156277,4.9778532538072,6.42933700590076e-07,8.49944221769078e-06
"gene:AT1G02220",59.9107074066883,5.14537685858899,0.930236872004458,5.53125447231717,3.17948673216104e-08,5.04523995223707e-07
"gene:AT1G02360",26.3347756436202,4.8696588660779,1.52933648283115,3.18416445350408,0.00145172510846221,0.00876499525962379
"gene:AT1G02400",271.753590919346,6.10286853083521,1.62247993743751,3.76144468108115,0.000168934786646914,0.00135938828318554
"gene:AT1G02405",20.4368101515228,7.89606493931225,2.04744673307237,3.85654230303884,0.000115002203531172,0.000964935664153442
"gene:AT1G02450",35.9224954745698,5.55582384633459,1.29074730464197,4.3043466574394,1.67479246360062e-05,0.000172019238737378
"gene:AT1G02460",135.003985026309,4.59952150847148,0.806733939469261,5.70141069247371,1.18819981670753e-08,2.01679630264432e-07
"gene:AT1G02520",94.3765466562652,4.58081936634049,1.00461464768629,4.55977759919238,5.12078238467069e-06,5.85649550446474e-05
"gene:AT1G02750",158.191463127606,2.13609014731052,0.587932578576601,3.63322296662322,0.000279902945971958,0.00211029060088847
"gene:AT1G02920",788.940592103182,7.82868731104462,0.451012937613358,17.3580105095698,1.71566284537626e-67,5.69363421513834e-65
"gene:AT1G02930",2230.09943205063,7.17719866521103,0.298925286103093,24.0100085167628,2.18597728848735e-127,3.23659160375419e-124
"gene:AT1G03220",573.98490826949,3.82800467792005,0.421026697691923,9.09207111782994,9.71701016359008e-20,4.31946909073399e-18
"gene:AT1G03230",148.591651635311,2.72305193270516,0.819277030525267,3.3237254692217,0.000888235885041575,0.00574874388543384
"gene:AT1G03370",501.465531859842,2.0936125603276,0.383508150698018,5.45910838274765,4.78531590409089e-08,7.38634807714045e-07
"gene:AT1G03495",72.013859334892,2.74774748382872,0.683144764319272,4.02220382464139,5.76561304193348e-05,0.000520039924232126
"gene:AT1G03660",62.1127484425979,3.36082692866558,1.14193542554315,2.94309717825511,0.0032494639934001,0.0173160805495474
"gene:AT1G03730",504.00774456619,3.74313147220971,0.31755688789786,11.7872784841425,4.53974802927025e-32,4.12174858808461e-30
"gene:AT1G03740",1587.94760082832,3.88513298225237,0.273176962764197,14.2220374036663,6.68771304635523e-46,1.1193487018804e-43
"gene:AT1G03770",96.7863458187155,2.57221265894252,0.621606118141713,4.13801052446544,3.50330305334103e-05,0.000333489501338814
"gene:AT1G03850",117.358259578793,3.50181727653028,0.798552961775411,4.38520354209788,1.15877374654303e-05,0.000123155206557152
"gene:AT1G03905",61.0456255857802,3.08296628420178,0.891967769146564,3.45636511860913,0.000547513144364207,0.00377049481313855
"gene:AT1G04070",104.294018454688,2.50719177228261,0.709597915374448,3.53325695856869,0.000410473304429966,0.00295246269195366
"gene:AT1G04090",42.5424203902833,6.88526866545274,1.43336820660554,4.80355894160525,1.55869976842063e-06,1.94061145812162e-05
"gene:AT1G04100",129.647592252394,2.48838735509605,0.70731517610788,3.51807431700931,0.000434690607610956,0.00309771374131643
"gene:AT1G04370",43.8927939670059,9.00683562814467,1.53117292054854,5.88231120552864,4.04576708218649e-09,7.32576903084907e-08
"gene:AT1G04960",242.629332076192,2.57862810512858,0.572983248119857,4.50035513881058,6.78400242292665e-06,7.5610005000864e-05
